역명,도로명주소
증산,서울특별시 은평구 증산로 지하306(증산동)
디지털미디어시티,서울특별시 은평구 수색로 지하175(증산동)
월드컵경기장,서울특별시 마포구 월드컵로 지하240(성산동)
마포구청,서울특별시 마포구 월드컵로 지하190(성산동)
망원,서울특별시 마포구 월드컵로 지하77(망원동)
합정,서울특별시 마포구 양화로 지하45(합정동)
상수,서울특별시 마포구 독막로 지하85(상수동)
광흥창,서울특별시 마포구 독막로 지하165(창전동)
대흥,서울특별시 마포구 대흥로 지하85(대흥동)
공덕,서울특별시 마포구 백범로 지하200(공덕동)
효창공원앞,서울특별시 용산구 백범로 지하287(효창동)
삼각지,서울특별시 용산구 한강대로 지하185(한강로1가)
녹사평,서울특별시 용산구 녹사평대로 지하195(용산동4가)
이태원,서울특별시 용산구 이태원로 지하177(이태원동)
한강진,서울특별시 용산구 이태원로 지하287(한남동)
버티고개,서울특별시 중구 다산로 지하38(신당동)
약수,서울특별시 중구 다산로 지하115(신당동)
청구,서울특별시 중구 청구로 지하77(신당동)
신당,서울특별시 중구 다산로 지하260(흥인동)
동묘앞,서울특별시 종로구 지봉로 지하24(숭인동)
창신,서울특별시 종로구 지봉로 지하112(창신동)
보문,서울특별시 성북구 보문로 지하116(보문동1가)
안암,서울특별시 성북구 고려대로 지하89(안암동5가)
고려대,서울특별시 성북구 종암로 지하1(종암동)
월곡,서울특별시 성북구 월곡로 지하107(하월곡동)
상월곡,서울특별시 성북구 화랑로 지하157(상월곡동)
돌곶이,서울특별시 성북구 화랑로 지하243(석관동)
석계,서울특별시 노원구 화랑로 지하 347-1(월계동) 
태릉입구,서울특별시 노원구 동일로 지하 992-1(공릉동)
화랑대,서울특별시 노원구 화랑로 지하510(공릉동)
봉화산,서울특별시 중랑구 신내로 지하232(신내동)
신내,서울특별시 중랑구 용마산로136길 33 신내차량기지
장암,경기도 의정부시 동일로 121(장암동)
도봉산,서울특별시 도봉구 도봉로 964-40(도봉동)
수락산,서울특별시 노원구 동일로 지하1662(상계동)
마들,서울특별시 노원구 동일로 지하1530-1(상계동)
노원,서울특별시 노원구 동일로 지하1409(상계동)
중계,서울특별시 노원구 동일로 지하1308-1(중계동)
하계,서울특별시 노원구 동일로 지하1196(하계동)
공릉,서울특별시 노원구 동일로 지하1074(공릉동)
태릉입구,서울특별시 노원구 동일로 지하 992-1(공릉동)
먹골,서울특별시 중랑구 동일로 지하901(묵동)
중화,서울특별시 중랑구 동일로 지하797(중화동)
상봉,서울특별시 중랑구 망우로 297(상봉동)
면목,서울특별시 중랑구 면목로 지하407(면목동) 
사가정,서울특별시 중랑구 사가정로 지하393(면목동)
용마산,서울특별시 중랑구 용마산로 지하227(면목동)
중곡,서울특별시 광진구 능동로 지하417(중곡동)
