지하철역,도로명주소,lat,lng
을지로4가,서울특별시 중구 을지로 지하178(을지로4가),37.5666369941572,126.997852780281
동대문역사문화공원,서울특별시 중구 을지로 지하279(을지로7가),37.5655895229776,127.009131498424
신당,서울특별시 중구 퇴계로 지하431-1(신당동),37.5656540317328,127.019540574485
상왕십리,서울특별시 성동구 왕십리로 지하374(하왕십리동),37.5644687111181,127.029031221392
왕십리,서울특별시 성동구 왕십리로 지하300(행당동),37.5612217415191,127.036655378283
한양대,서울특별시 성동구 왕십리로 206(행당동),37.55557788354,127.043584493543
뚝섬,서울특별시 성동구 아차산로 18(성수동1가),37.5471882244091,127.047365178682
성수,서울특별시 성동구 아차산로 100(성수동2가),37.5445023983984,127.056090471223
건대입구,서울특별시 광진구 아차산로 243(화양동),37.5404188872176,127.069173281554
구의,서울특별시 광진구 아차산로 384-1(구의동),37.5371535596228,127.086179228767
강변,서울특별시 광진구 강변역로 53(구의동),37.5351692767888,127.094664569096
잠실나루,서울특별시 송파구 오금로 20(신천동),37.5206867318088,127.103811089444
잠실,서울특별시 송파구 올림픽로 지하265(신천동),37.513859279255,127.101857941447
잠실새내,서울특별시 송파구 올림픽로 지하140(잠실동),37.5115672093323,127.086373867207
종합운동장,서울특별시 송파구 올림픽로 지하23(잠실동),37.5109692748993,127.073356018706
삼성,서울특별시 강남구 테헤란로 지하538(삼성동),37.5088619974404,127.063073009788
선릉,서울특별시 강남구 테헤란로 지하340(삼성동),37.5045028775835,127.048942471228
역삼,서울특별시 강남구 테헤란로 지하156(역삼동),37.5007162693593,127.036618203089
교대,서울특별시 서초구 서초대로 지하294(서초동),37.4928178646055,127.013838469407
서초,서울특별시 서초구 서초대로 지하233(서초동),37.4918229990093,127.007580814715
방배,서울특별시 서초구 방배로 지하80(방배동),37.4814364876589,126.997694899327
사당,서울특별시 동작구 남부순환로 지하2089(사당동),37.4765228347619,126.981408909449
낙성대,서울특별시 관악구 남부순환로 지하1928(봉천동),37.4770651843603,126.963409959152
서울대입구,서울특별시 관악구 남부순환로 지하1822(봉천동),37.4811526631844,126.952645104944
봉천,서울특별시 관악구 남부순환로 지하1721(봉천동),37.4825562153548,126.941495272047
신대방,서울특별시 동작구 대림로 2(신대방동),37.4875759745635,126.913175585996
구로디지털단지,서울특별시 구로구 도림천로 477(구로동),37.4853149237865,126.901494378412
대림,서울특별시 구로구 도림천로 351(구로동),37.4933105886136,126.8949461878
신도림,서울특별시 구로구 새말로 지하 117-21(신도림동),37.5087701449787,126.891080501385
문래,서울특별시 영등포구 당산로 지하28(문래동3가),37.5179214637526,126.894763060556
영등포구청,서울특별시 영등포구 당산로 지하121(당산동3가),37.5256996614804,126.896626898379
당산,서울특별시 영등포구 당산로 229(당산동6가),37.534956866618,126.90273071003
합정,서울특별시 마포구 양화로 지하55(서교동),37.5501152068908,126.914638180431
신촌,서울특별시 마포구 신촌로 지하90(노고산동),37.5554417865984,126.936119192554
이대,서울특별시 마포구 신촌로 지하180(염리동),37.5567980142044,126.945758201019
아현,서울특별시 마포구 신촌로 지하270(아현동),37.5573575723061,126.95603374504
충정로,서울특별시 서대문구 서소문로 지하17(충정로3가),37.5598377952439,126.964474043785
용답,서울특별시 성동구 용답길 86(용답동),37.5620049052662,127.050729309179
신답,서울특별시 성동구 천호대로 232(용답동),37.5699910562183,127.046820203556
용두,서울특별시 동대문구 천호대로 지하129(용두동),37.5739380503267,127.038031119837
도림천,서울특별시 구로구 경인로67길 160(신도림동),37.5144420510515,126.882702584468
양천구청,서울특별시 양천구 목동로3길 지하33(신정동),37.5126989358446,126.866065211751
신정네거리,서울특별시 양천구 중앙로 지하261(신정동),37.5197975266787,126.852991645059
지축,경기도 고양시 덕양구 삼송로 300(지축동),37.6496180734177,126.912167788573
구파발,서울특별시 은평구 진관2로 지하15-25 (진관동),37.6368417889316,126.918745426412
연신내,서울특별시 은평구 통일로 지하849(갈현동),37.618962003178,126.921162124977
불광,서울특별시 은평구 통일로 지하723-1(대조동),37.6102072578868,126.92998576213
녹번,서울특별시 은평구 통일로 지하602-1(녹번동),37.6007421809861,126.936019442532
홍제,서울특별시 서대문구 통일로 지하440-1(홍제동),37.5887103667691,126.944242309924
무악재,서울특별시 서대문구 통일로 지하361(홍제동),37.5823841472467,126.950322097494
독립문,서울특별시 서대문구 통일로 지하247(현저동),37.5744103589329,126.957750279047
경복궁,서울특별시 종로구 사직로 지하130(적선동),37.5758613027702,126.973062710191
안국,서울특별시 종로구 율곡로 지하62(안국동),37.5767203705556,126.985823042976
충무로,서울특별시 중구 퇴계로 지하214(필동2가),37.5612890978954,126.994207448462
동대입구,서울특별시 중구 동호로 지하256(장충동2가),37.559030224347,127.005460196954
약수,서울특별시 중구 다산로 지하122(신당동),37.5545595558163,127.010822526737
금호,서울특별시 성동구 동호로 지하104(금호동4가),37.5481125196986,127.015893753726
옥수,서울특별시 성동구 동호로 21(옥수동),37.5409877747326,127.018965435917
압구정,서울특별시 강남구 압구정로 지하172(신사동),37.5264308236177,127.028480919224
잠원,서울특별시 서초구 잠원로4길 지하46(잠원동),37.5127991148107,127.01122017966
고속터미널,서울특별시 서초구 신반포로 지하188(반포동),37.5049267445237,127.004949918697
남부터미널,서울특별시 서초구 서초중앙로 지하31(서초동),37.48514016604,127.016207055102
매봉,서울특별시 강남구 남부순환로 지하2744(도곡동),37.4869611285839,127.046614560925
도곡,서울특별시 강남구 남부순환로 지하2814(도곡동),37.4908647717187,127.05532337372
대치,서울특별시 강남구 남부순환로 지하2952(대치동),37.4945627553067,127.063430193449
학여울,서울특별시 강남구 남부순환로 지하3104(대치동),37.4967171864138,127.071718971861
대청,서울특별시 강남구 일원로 지하2(일원동),37.4937218597788,127.079493645766
일원,서울특별시 강남구 일원로 지하121(일원동),37.4840735840284,127.084451750048
수서,서울특별시 강남구 광평로 지하270(수서동),37.4873889933503,127.101859191018
가락시장,서울특별시 송파구 송파대로 지하257(가락동),37.4927440321316,127.118485741487
경찰병원,서울특별시 송파구 중대로 지하149(가락동),37.4956031419934,127.124067847413
오금,서울특별시 송파구 오금로 지하321(오금동),37.5022659793733,127.127879247544
당고개,서울특별시 노원구 상계로 305(상계동),37.6702926448965,127.079011159467
상계,서울특별시 노원구 상계로 182(상계동),37.6609038887184,127.073575379339
노원,서울특별시 노원구 상계로 69-1(상계동),37.6562677764281,127.063030448739
창동,서울특별시 도봉구 마들로11길 77(창동),37.6532174818989,127.047714954434
쌍문,서울특별시 도봉구 도봉로 지하 486-1(창동),37.6488498649136,127.034880717215
수유,서울특별시 강북구 도봉로 지하338(수유동),37.6377452337445,127.025356901379
미아,서울특별시 강북구 도봉로 지하198(미아동),37.6264436445109,127.026103434413
미아사거리,서울특별시 강북구 도봉로 지하50(미아동),37.6132861094991,127.030098418544
길음,서울특별시 성북구 동소문로 지하248(길음동),37.603183910563,127.024823216768
한성대입구,서울특별시 성북구 삼선교로 지하1(삼선동1가),37.5883948842004,127.00595033342
혜화,서울특별시 종로구 대학로 지하120(명륜4가),37.5818036223189,127.001978401429
명동,서울특별시 중구 퇴계로 지하126(충무로2가),37.5609100751113,126.985947030389
회현,서울특별시 중구 퇴계로 지하54(남창동),37.5585353196435,126.978239147279
숙대입구,서울특별시 용산구 한강대로 지하306(갈월동),37.5451939759064,126.971872351838
삼각지,서울특별시 용산구 한강대로 지하180(한강로1가),37.5345937063675,126.973011032988
신용산,서울특별시 용산구 한강대로 지하112(한강로2가),37.5296155628471,126.968215931799
이촌,서울특별시 용산구 서빙고로 지하83(용산동5가),37.522520254623,126.973683151228
동작,서울특별시 동작구 현충로 257(동작동),37.5028703671011,126.980268385443
총신대입구,서울특별시 동작구 동작대로 지하117(사당동),37.4875538278198,126.982199707405
남태령,서울특별시 서초구 과천대로 지하816(방배동),37.4648575576518,126.988656544337
방화,서울특별시 강서구 금낭화로 지하132(방화동),37.5770031079469,126.81262993382
개화산,서울특별시 강서구 양천로 22(방화동),37.572270024754,126.806001672732
송정,서울특별시 강서구 공항대로 지하33(공항동),37.5614775483136,126.811055407613
마곡,서울특별시 강서구 공항대로 지하163(마곡동),37.5601984535897,126.825547992125
발산,서울특별시 강서구 공항대로 지하267(마곡동),37.5590292668195,126.837310771961
우장산,서울특별시 강서구 강서로 지하262(화곡동),37.5490001953873,126.836408931785
화곡,서울특별시 강서구 화곡로 지하168(화곡동),37.5414336176977,126.840496450153
