관광지명,도로명주소,lat,lng,분류,Unnamed: 0
의정부문화원,경기도 의정부시 산단로 123,37.746405207,127.0794050381,문화,
중앙도서관(의왕시립도서관),경기도 의왕시 골우물길 49 의왕시 중앙도서관,37.3422472538,126.9695178933,문화,
연천문화원,경기도 연천군 연천읍 문화로 143,38.1063165987,127.0786045596,문화,
여주박물관,경기도 여주시 신륵사길 6-12,37.2996466606,127.6533753591,문화,
양주문화원,경기도 양주시 광적면 삼일로29번길 20,37.8222267141,126.9868601604,문화,
양주소놀이굿공연장,경기도 양주시 백석읍 중앙로93번길 70-21,37.7914871041,127.000395378,문화,
남사당전수관,경기도 안성시 보개면 남사당로 196-31,37.0312945714,127.3091402397,문화,
남사당바우덕이풍물단,경기도 안성시 보개면 남사당로 196-31 남사당전수관,37.0312945714,127.3091402397,문화,
성남문화원,경기도 성남시 수정구 산성대로215번길 7 (신흥동),37.4390594749,127.1408289027,문화,
부천향토역사관,경기도 부천시 소사로 638 부천옹기박물관,37.5137431269,126.8017551735,문화,
김포문화원,경기도 김포시 사우중로 26,37.6171786703,126.7180615692,문화,
통진두레문화센터,경기도 김포시 통진읍 김포대로 2347-8,37.6958415375,126.5870200838,문화,
안양문화원,경기도 안양시 만안구 현충로 53,37.3904291136,126.9258325076,문화,
구리문화원,경기도 구리시 동구릉로 217-14 (인창동),37.6184044601,127.1384835253,문화,
과천시민회관,경기도 과천시 통영로 5 (중앙동),37.4282074501,126.9891095986,문화,
고양시문예회관,경기도 고양시 덕양구 고양시청로 10 (주교동),37.6584112959,126.8319654608,문화,
가평문화원,경기도 가평군 가평읍 문화로 131,37.8242546008,127.5066699979,문화,
용인문화원,경기도 용인시 처인구 중부대로 1199,37.2409283699,127.1761248957,문화,
처인홀문예회관(구.용인시문예회관),경기도 용인시 처인구 중부대로1392번길 15 용인시문예회관,37.2317489735,127.1988571909,문화,
수원시무형문화재전수회관,경기도 수원시 팔달구 수원천로 372,37.2866953191,127.0180907954,문화,
포천 아트밸리,경기도 포천시 신북면 아트밸리로 234,37.9234463151,127.2364959881,문화,
평택서부(안중)문화예술회관,경기도 평택시 안중읍 서동대로 1531,36.989951482,126.9196758852,문화,
양주별산대놀이전수회관,경기도 양주시 부흥로1399번길 47,37.7862072911,127.0315714757,문화,
수원시립아이파크미술관,경기도 수원시 팔달구 정조로 833,37.2827916513,127.0157241613,문화,
한향림옹기박물관,경기도 파주시 탄현면 헤일리마을길 63,37.7891170456,126.698490609,문화,
갤러리박영,경기도 파주시 회동길 37-9,37.7057390952,126.6843126852,문화,
해강도자미술관,경기도 이천시 신둔면 경충대로3150번길 44,37.3087939092,127.4049032371,문화,
석장리미술관,경기도 연천군 백학면 백왕로225번길 240,38.0539684859,126.9176442765,문화,
반달미술관 (여주세계생활도자관),경기도 여주시 신륵사길 7,37.2995334447,127.6572227621,문화,
아트센터마노,경기도 안성시 보개면 남사당로 196-33,37.0319332114,127.3082841232,문화,
대안미술공간소나무,경기도 안성시 미양면 이박골길 75-33,36.9812600532,127.2486122951,문화,
경기도미술관,경기도 안산시 단원구 동산로 268,37.3250733145,126.8099722144,문화,
서호미술관,경기도 남양주시 화도읍 북한강로 1344,37.6327094732,127.3514962266,문화,
보름산미술관,경기도 김포시 고촌읍 수기로 100-78,37.5963726044,126.7608945565,문화,
화폐박물관,경기도 파주시 탄현면 헤이리마을길 93-89,37.7908034788,126.6973139366,문화,
명지대학교자연캠퍼스박물관,경기도 용인시 처인구 명지로 116,37.2189187154,127.1837708068,문화,
한국기독교역사박물관,경기도 이천시 대월면 대평로214번길 10-13,37.2228112788,127.4992560813,문화,
남양주시립박물관,경기도 남양주시 와부읍 팔당로 121,37.5463749425,127.2443835329,문화,
남송미술관,경기도 가평군 북면 백둔로 322,37.9045132527,127.4722674534,문화,
이영미술관,경기도 용인시 기흥구 흥덕4로 63,37.2773126413,127.0900943448,문화,
수원미술전시관,경기도 수원시 장안구 송정로 19,37.2970380315,126.9994531538,문화,
갤러리 모자이크,경기도 파주시 탄현면 헤이리마을길 18-28,37.7871465925,126.6963427362,문화,
93뮤지엄가족미술관,경기도 파주시 탄현면 헤이리마을길 59-58,37.7897691822,126.6963143314,문화,
포네티브 스페이스,경기도 파주시 탄현면 헤이리마을길 34,37.7871152662,126.6970358424,문화,
갤러리MOA,경기도 파주시 탄현면 헤일리마을길 48-37,37.7876958133,126.7002322133,문화,
한국미술관,경기도 용인시 기흥구 마북로 244-2,37.308971888,127.1319468811,문화,
호암미술관,경기도 용인시 처인구 포곡읍 에버랜드로 562번길 38,37.2932166487,127.1923280547,문화,
토아트갤러리,경기도 이천시 신둔면 경충대로 3189,37.3106834654,127.4007930976,문화,
목아박물관,경기도 여주시 강천면 이문안길 21,37.2885092955,127.6881568938,문화,
경기도자박물관,경기도 광주시 곤지암읍 경충대로 727,37.350279973,127.3347904394,문화,
누에박물관,경기도 화성시 향남읍 은행나무로 591,37.1084220883,126.9320088622,문화,
하남역사박물관,경기도 하남시 덕풍동로 30,37.5454565612,127.2060787072,문화,
파주나비나라박물관,경기도 파주시 광인사길 161,37.7148512105,126.6869017454,문화,
선바위미술관,경기도 과천시 무네미길 34,37.4517676412,126.9992831777,문화,
월당전시관,경기도 파주시 문산읍 반구정로 36-13,37.8671850711,126.7586979516,문화,
어린이생태미술체험관풀잎,경기도 수원시 장안구 경수대로 1274 효행공원 내,37.3245962203,126.9874754816,문화,
경기의왕 레일바이크,경기도 의왕시 왕송못동로 209(월암동),37.3108723627,126.950260593,문화,
경기상상캠퍼스,경기도 수원시 권선구 서둔로 166,37.266779513,126.985014166,문화,
황순원문학촌소나기마을,경기도 양평군 서종면 소나기마을길 24,37.5948830903,127.377885975,문화,
인터랙티브아트뮤지엄,경기도 가평군 가평읍 호반로 1655,37.7434777253,127.5106353981,문화,
포천반월아트홀,경기도 포천시 군내면 청성로 111,37.8961166398,127.2124468445,문화,
자유로자동차극장,경기도 파주시 탄현면 필승로 432,37.7798672706,126.6849977023,문화,
의정부야외공연장,경기도 의정부시 시민로 1,37.738067642,127.0337930438,문화,
양주별산대놀이마당,경기도 양주시 부흥로1399번길 47,37.7862072911,127.0315714757,문화,
무비마운틴,경기도 안성시 원곡면 천덕산로 828-6,37.0663649385,127.168049601,문화,
성남시 야외공연장,경기도 성남시 분당구 성남대로 550 (수내동),37.3803005535,127.1211729072,문화,
성남아트센터,경기도 성남시 분당구 성남대로 808 성남아트센터,37.402459699,127.1307557035,문화,
오정아트홀,경기도 부천시 오정구 성오로 172,37.5283469861,126.7960281955,문화,
고양아람누리,경기도 고양시 일산동구 중앙로 1286,37.6613085327,126.7731874988,문화,
평촌아트홀,경기도 안양시 동안구 평촌대로 76,37.3799811839,126.9640224898,문화,
경기도문화의전당 국악당,경기도 용인시 기흥구 민속촌로 89 경기도국악당,37.2598428375,127.1140068933,문화,
수원제1야외음악당,경기도 수원시 팔달구 동수원로 335,37.2591135204,127.0363552907,문화,
복사골문화센터아트홀,경기도 부천시 원미구 한아름마을로 17 복사골문화센터,37.4946603891,126.7543640389,문화,
축구국가대표팀 트레이닝센터,경기도 파주시 탄현면 필승로 368,37.7756147085,126.6852260722,문화,
한생연 마이크로과학박물관,경기도 성남시 분당구 성남대로 381 폴라리스Ⅰ빌딩 4층,37.3702777287,127.1075125036,문화,
부천활박물관,경기도 부천시 원미구 소사로 482,37.5031636955,126.7960837045,문화,
왈츠와닥터만커피박물관,경기도 남양주시 북한강로 856-37,37.5919694177,127.338460105,문화,
아라크노피아,경기도 남양주시 조안면 운길산로 316,37.5671283461,127.2824618647,문화,
덕포진교육박물관,경기도 김포시 대곶면 덕포진로103번길 90,37.6506537114,126.53872715,문화,
풀짚공예박물관,경기도 광주시 오프읍 문형산길 76,37.3641991948,127.1650933287,문화,
분원백자관,경기도 광주시 남종면 산수로 1642-1,37.4962551269,127.3034494145,문화,
나비야놀자박물관,경기도 광명시 장절로 56-16,37.4272868441,126.852707386,문화,
한국카메라박물관,경기도 과천시 대공원광장로 8,37.4350560971,127.0056567204,문화,
가평현암농경유물박물관,경기도 가평군 북면 석장모루길 13,37.8793061516,127.5481231897,문화,
삼성화재교통박물관,경기도 용인시 처인구 포곡읍 에버랜드로 376번길 171,37.3003720757,127.2169533071,문화,
잠사과학박물관,경기도 수원시 권선구 서호로 54,37.2638428607,126.9875265887,문화,
수원박물관,경기도 수원시 영통구 창룡대로 265,37.2976452252,127.0356337197,문화,
아고라(정치박물관),경기도 파주시 탄현면 헤이리마을길 76-47,37.7880539973,126.7012164101,문화,
경기도박물관,경기도 용인시 기흥구 상갈로 6,37.2667987372,127.1076441891,문화,
전통민속관,경기도 용인시 기흥구 민속촌로 90,37.2581660137,127.1195074221,문화,
한국등잔박물관,경기도 용인시 처인구 모현면 능곡로 56번길 8,37.336589152,127.1778595026,문화,
헤이리마을 어린이토이박물관,경기도 파주시 탄현면 헤이리마을길 93-127,37.7915363684,126.6990550647,문화,
한과문화박물관 한가원,경기도 포천시 영북면 산정호수로322번길 26-9,38.0683427258,127.3037184661,문화,
고구려대장간마을,경기도 구리시 우미내길 41,37.5608108938,127.1109423293,문화,
kbs수원센터,경기도 수원시 팔달구 인계로 123,37.2679514397,127.0305715905,문화,
아프리카문화원,경기도 포천시 소홀읍 광릉수목원로 967,37.7752748444,127.1393221001,문화,
프로방스,경기도 파주시 탄현면 새오리로 79-24,37.7912878099,126.6838500957,문화,
몽골문화촌,경기도 남양주시 수동면 비룡로 1635,37.7577128538,127.2755929481,문화,
지영희국악관,경기도 평택시 현덕면 평택호길 147 한국소리터어울림동 1층,36.9211325623,126.9208602354,문화,
경기도농업기술원,경기도 화성시 병점중앙로 283-33,37.2224383785,127.0440305422,문화,
